latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,is_entire,is_private,is_shared,dist_copacabana,dist_ipanema,dist_leblon,dist_cristo_redentor,dist_pao_de_acucar,dist_sdumont_airport,dist_min_praias_sul,dist_min_turistico,dist_media_praias_sul,has_wifi,has_ac,has_pool,has_beachfront,has_kitchen,has_parking,has_washer,amenities_count,amen_lux_abs,amen_lux_rel,geo_cluster,geo_cluster_mean_price,geo_cluster_0,geo_cluster_1,geo_cluster_2,geo_cluster_3,geo_cluster_4,geo_cluster_5,geo_cluster_6,geo_cluster_7,geo_cluster_8,geo_cluster_9,accommodates_per_bedroom,accommodates_per_bathroom,beds_per_bedroom,stay_span,has_reviews
-22.991219,-43.236046,2,1.0,1.0,1.0,2,90,21,360.0,1.0,0.0,0.0,5.9489775,3.308903,1.474477,5.094646,9.433588,11.685445,1.474477,5.094646,3.5774524,1.0,0.0,1.0,0.0,1.0,0.0,1.0,28.0,41.92392,1.0603701,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,88.0,1.0
-22.98282,-43.18935,2,1.0,1.0,2.0,2,15,4,1162.0,0.0,1.0,0.0,1.4946963,1.583965,3.4585068,4.0631957,5.0950747,8.489484,1.4946963,4.0631957,2.179056,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,100.44526,1.1446403,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,13.0,1.0
-22.98251,-43.22108,5,2.0,2.0,3.0,2,366,40,887.0,1.0,0.0,0.0,4.177582,1.6709577,0.3958357,3.5718765,7.6224513,9.976954,0.3958357,3.5718765,2.0814583,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,43.95909,1.0633007,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,2.5,1.5,364.0,1.0
-22.97275,-43.41337,4,1.0,1.0,2.0,1,730,0,298.0,0.0,0.0,0.0,23.667141,21.385786,19.540724,20.899633,26.438726,26.548805,19.540724,20.899633,21.531218,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,104.4289,1.1503767,0.0,784.8122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,729.0,0.0
-22.98413,-43.19235,2,1.0,1.0,1.0,3,8,18,496.0,0.0,1.0,0.0,1.7829503,1.2758397,3.1418016,4.0369034,5.4089026,8.728356,1.2758397,4.0369034,2.0668638,1.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,-81.98557,0.8819415,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0
-22.94975,-43.18425,2,1.0,1.0,2.0,2,180,8,224.0,1.0,0.0,0.0,2.383272,4.312053,5.6240335,2.69842,2.8453972,4.8822603,2.383272,2.69842,4.106453,1.0,1.0,0.0,0.0,1.0,0.0,1.0,31.0,-73.31096,0.89443284,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,178.0,1.0
-23.01509,-43.29829,5,1.0,2.0,2.0,2,15,0,655.0,1.0,0.0,0.0,12.850424,10.18977,8.374972,11.407651,16.299524,18.085712,8.374972,11.407651,10.471722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1144.7134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,1.0,13.0,0.0
-22.912,-43.17482,4,1.0,1.0,2.0,3,730,6,225.0,1.0,0.0,0.0,6.614929,8.532882,9.555886,5.747605,4.461171,1.2135065,6.614929,4.461171,8.234566,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,59.47825,1.0856482,1.0,478.42426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,727.0,1.0
-22.96614,-43.18401,4,1.0,0.0,3.0,3,180,10,222.0,1.0,0.0,0.0,0.581825,2.8808372,4.5403476,3.140595,3.4387326,6.557449,0.581825,3.140595,2.66767,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,14.064989,1.0202534,6.0,681.2583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,177.0,1.0
-22.99327,-43.23481,2,1.0,1.0,3.0,4,360,9,453.0,1.0,0.0,0.0,5.9230227,3.2546973,1.4794759,5.2302194,9.442911,11.782352,1.4794759,5.2302194,3.5523987,1.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,-36.197105,0.9478765,5.0,1168.1151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,356.0,1.0
